tweets,health_index,depression_risk,anxiety_risk,stress_level,social_isolation,self_esteem_issues,emotional_instability,emotional_signature
I hate Mondays ||| Life is tough sometimes ||| Life is tough sometimes ||| Feeling lonely and anxious ||| Nothing seems to go right,54,82,54,64,76,62,69,"Sad, withdrawn, anxious"
Feeling lonely and anxious ||| Nothing seems to go right ||| Feeling down today... ||| I hate Mondays ||| Nothing seems to go right,46,78,60,51,55,43,75,"Sad, withdrawn, anxious"
People are driving me crazy ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| People are driving me crazy ||| I can't stand traffic anymore,67,30,67,84,50,43,77,"Irritable, stressed, impatient"
"Excited about my new project! ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Feeling blessed and happy 😊",86,15,12,8,15,5,10,"Calm, joyful, optimistic"
People are driving me crazy ||| Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| People are driving me crazy ||| People are driving me crazy,65,34,68,67,34,47,83,"Irritable, stressed, impatient"
This is so frustrating! ||| People are driving me crazy ||| This is so frustrating! ||| Angry and exhausted 😡 ||| This is so frustrating!,41,36,50,88,29,49,88,"Irritable, stressed, impatient"
"Feeling blessed and happy 😊 ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| Excited about my new project!",98,14,2,27,15,19,8,"Calm, joyful, optimistic"
Angry and exhausted 😡 ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| Why does this always happen to me? ||| This is so frustrating!,69,26,69,83,50,41,87,"Irritable, stressed, impatient"
Why does this always happen to me? ||| This is so frustrating! ||| This is so frustrating! ||| People are driving me crazy ||| Why does this always happen to me?,56,28,64,61,50,33,83,"Irritable, stressed, impatient"
Nothing seems to go right ||| I hate Mondays ||| Feeling down today... ||| Nothing seems to go right ||| Feeling lonely and anxious,56,81,50,40,45,69,50,"Sad, withdrawn, anxious"
Life is tough sometimes ||| Nothing seems to go right ||| Life is tough sometimes ||| Feeling down today... ||| Feeling down today...,42,73,52,58,66,64,66,"Sad, withdrawn, anxious"
This is so frustrating! ||| People are driving me crazy ||| People are driving me crazy ||| People are driving me crazy ||| This is so frustrating!,40,36,64,72,40,50,66,"Irritable, stressed, impatient"
Feeling down today... ||| Feeling lonely and anxious ||| I hate Mondays ||| I hate Mondays ||| Feeling down today...,58,61,63,53,54,57,64,"Sad, withdrawn, anxious"
Feeling blessed and happy 😊 ||| Excited about my new project! ||| Excited about my new project! ||| Excited about my new project! ||| Excited about my new project!,99,5,20,29,5,4,6,"Calm, joyful, optimistic"
I had a great day today! ||| I had a great day today! ||| Excited about my new project! ||| Excited about my new project! ||| Had a wonderful lunch with friends,88,11,0,19,4,9,0,"Calm, joyful, optimistic"
I can't stand traffic anymore ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| People are driving me crazy ||| I can't stand traffic anymore,69,38,68,64,24,34,89,"Irritable, stressed, impatient"
Feeling lonely and anxious ||| Nothing seems to go right ||| Nothing seems to go right ||| Feeling down today... ||| I hate Mondays,34,68,50,68,45,61,78,"Sad, withdrawn, anxious"
Nothing seems to go right ||| Life is tough sometimes ||| Feeling lonely and anxious ||| Feeling lonely and anxious ||| I hate Mondays,32,90,74,70,75,60,53,"Sad, withdrawn, anxious"
"I had a great day today! ||| I had a great day today! ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| I had a great day today!",88,6,9,8,14,16,19,"Calm, joyful, optimistic"
Feeling down today... ||| Life is tough sometimes ||| Feeling lonely and anxious ||| Life is tough sometimes ||| I hate Mondays,49,83,67,43,48,41,62,"Sad, withdrawn, anxious"
I can't stand traffic anymore ||| Why does this always happen to me? ||| Why does this always happen to me? ||| Angry and exhausted 😡 ||| Why does this always happen to me?,55,35,56,64,27,45,68,"Irritable, stressed, impatient"
This is so frustrating! ||| Why does this always happen to me? ||| This is so frustrating! ||| I can't stand traffic anymore ||| I can't stand traffic anymore,61,24,68,87,30,37,89,"Irritable, stressed, impatient"
Excited about my new project! ||| Excited about my new project! ||| Excited about my new project! ||| Excited about my new project! ||| Had a wonderful lunch with friends,88,4,5,19,8,16,16,"Calm, joyful, optimistic"
I hate Mondays ||| Life is tough sometimes ||| Nothing seems to go right ||| Feeling down today... ||| I hate Mondays,46,79,71,45,55,55,55,"Sad, withdrawn, anxious"
Feeling down today... ||| I hate Mondays ||| I hate Mondays ||| Feeling lonely and anxious ||| I hate Mondays,46,67,66,46,76,56,64,"Sad, withdrawn, anxious"
Why does this always happen to me? ||| This is so frustrating! ||| People are driving me crazy ||| This is so frustrating! ||| I can't stand traffic anymore,61,25,44,65,25,31,74,"Irritable, stressed, impatient"
I had a great day today! ||| Excited about my new project! ||| I had a great day today! ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊,80,11,17,0,0,3,19,"Calm, joyful, optimistic"
"I had a great day today! ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊",93,5,15,3,3,19,8,"Calm, joyful, optimistic"
This is so frustrating! ||| Angry and exhausted 😡 ||| Why does this always happen to me? ||| Angry and exhausted 😡 ||| I can't stand traffic anymore,49,34,66,85,49,44,62,"Irritable, stressed, impatient"
This is so frustrating! ||| Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| This is so frustrating!,61,24,43,85,20,27,79,"Irritable, stressed, impatient"
Feeling lonely and anxious ||| Feeling lonely and anxious ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Life is tough sometimes,48,85,63,56,61,45,64,"Sad, withdrawn, anxious"
Why does this always happen to me? ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| I can't stand traffic anymore ||| This is so frustrating!,51,30,51,65,45,43,70,"Irritable, stressed, impatient"
Life is tough sometimes ||| Feeling lonely and anxious ||| I hate Mondays ||| Feeling down today... ||| Feeling down today...,43,62,74,68,71,66,55,"Sad, withdrawn, anxious"
Angry and exhausted 😡 ||| This is so frustrating! ||| Angry and exhausted 😡 ||| Why does this always happen to me? ||| Why does this always happen to me?,70,44,64,72,49,29,66,"Irritable, stressed, impatient"
Why does this always happen to me? ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| This is so frustrating!,44,21,55,79,45,48,82,"Irritable, stressed, impatient"
Life is tough sometimes ||| Feeling lonely and anxious ||| I hate Mondays ||| Nothing seems to go right ||| Nothing seems to go right,38,86,71,65,68,65,72,"Sad, withdrawn, anxious"
People are driving me crazy ||| People are driving me crazy ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| Why does this always happen to me?,70,24,58,62,43,49,79,"Irritable, stressed, impatient"
I can't stand traffic anymore ||| Why does this always happen to me? ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| Angry and exhausted 😡,60,29,47,84,36,43,71,"Irritable, stressed, impatient"
"Feeling blessed and happy 😊 ||| Excited about my new project! ||| I had a great day today! ||| Excited about my new project! ||| Life is beautiful, enjoying every moment",98,4,17,19,10,9,11,"Calm, joyful, optimistic"
I can't stand traffic anymore ||| People are driving me crazy ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| People are driving me crazy,42,41,47,65,34,49,70,"Irritable, stressed, impatient"
Feeling lonely and anxious ||| Feeling down today... ||| Feeling lonely and anxious ||| I hate Mondays ||| I hate Mondays,35,67,51,69,54,55,63,"Sad, withdrawn, anxious"
"Had a wonderful lunch with friends ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊",89,5,6,28,15,15,10,"Calm, joyful, optimistic"
Excited about my new project! ||| I had a great day today! ||| I had a great day today! ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊,97,8,14,16,14,19,19,"Calm, joyful, optimistic"
"Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends",82,10,13,2,18,16,19,"Calm, joyful, optimistic"
"I had a great day today! ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment",97,2,11,20,11,8,0,"Calm, joyful, optimistic"
Feeling blessed and happy 😊 ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| Excited about my new project! ||| Feeling blessed and happy 😊,94,3,10,29,12,5,5,"Calm, joyful, optimistic"
Nothing seems to go right ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Life is tough sometimes ||| Feeling down today...,55,85,71,56,79,44,79,"Sad, withdrawn, anxious"
I hate Mondays ||| Feeling down today... ||| Life is tough sometimes ||| Nothing seems to go right ||| Nothing seems to go right,33,69,74,64,66,64,67,"Sad, withdrawn, anxious"
Feeling lonely and anxious ||| I hate Mondays ||| Feeling lonely and anxious ||| Feeling lonely and anxious ||| Nothing seems to go right,38,77,68,49,63,42,67,"Sad, withdrawn, anxious"
"Excited about my new project! ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊",96,9,10,18,2,7,10,"Calm, joyful, optimistic"
Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends,100,13,6,9,0,8,12,"Calm, joyful, optimistic"
"Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment",86,1,6,19,12,15,17,"Calm, joyful, optimistic"
This is so frustrating! ||| This is so frustrating! ||| I can't stand traffic anymore ||| People are driving me crazy ||| Angry and exhausted 😡,49,41,63,83,46,38,77,"Irritable, stressed, impatient"
Why does this always happen to me? ||| Angry and exhausted 😡 ||| Why does this always happen to me? ||| Angry and exhausted 😡 ||| Why does this always happen to me?,63,21,49,81,35,33,64,"Irritable, stressed, impatient"
Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Excited about my new project! ||| Excited about my new project!,81,14,20,28,1,19,3,"Calm, joyful, optimistic"
Nothing seems to go right ||| I hate Mondays ||| Feeling lonely and anxious ||| Nothing seems to go right ||| Feeling down today...,59,75,65,42,47,70,56,"Sad, withdrawn, anxious"
"Life is beautiful, enjoying every moment ||| Excited about my new project! ||| I had a great day today! ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊",98,15,2,28,3,16,11,"Calm, joyful, optimistic"
Angry and exhausted 😡 ||| Why does this always happen to me? ||| I can't stand traffic anymore ||| People are driving me crazy ||| Angry and exhausted 😡,59,27,70,69,43,43,79,"Irritable, stressed, impatient"
Feeling down today... ||| Feeling lonely and anxious ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Life is tough sometimes,47,86,63,43,43,58,67,"Sad, withdrawn, anxious"
"Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Life is beautiful, enjoying every moment",89,19,4,8,13,9,20,"Calm, joyful, optimistic"
"Life is beautiful, enjoying every moment ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Had a wonderful lunch with friends",81,17,14,21,6,5,13,"Calm, joyful, optimistic"
Life is tough sometimes ||| Feeling down today... ||| Feeling lonely and anxious ||| Life is tough sometimes ||| Nothing seems to go right,31,85,50,59,40,48,54,"Sad, withdrawn, anxious"
"I had a great day today! ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| I had a great day today!",95,15,5,17,9,16,1,"Calm, joyful, optimistic"
Feeling lonely and anxious ||| Life is tough sometimes ||| I hate Mondays ||| Life is tough sometimes ||| I hate Mondays,36,83,70,70,47,61,79,"Sad, withdrawn, anxious"
"Excited about my new project! ||| I had a great day today! ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends",98,13,17,1,9,5,7,"Calm, joyful, optimistic"
"Excited about my new project! ||| I had a great day today! ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊",80,14,11,20,6,13,20,"Calm, joyful, optimistic"
Life is tough sometimes ||| I hate Mondays ||| Nothing seems to go right ||| I hate Mondays ||| Life is tough sometimes,60,88,50,59,72,58,50,"Sad, withdrawn, anxious"
Life is tough sometimes ||| Feeling lonely and anxious ||| I hate Mondays ||| Feeling lonely and anxious ||| Feeling down today...,34,86,64,46,64,44,52,"Sad, withdrawn, anxious"
Why does this always happen to me? ||| Why does this always happen to me? ||| People are driving me crazy ||| This is so frustrating! ||| Angry and exhausted 😡,48,46,57,80,47,49,72,"Irritable, stressed, impatient"
People are driving me crazy ||| Why does this always happen to me? ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| Why does this always happen to me?,58,48,45,64,23,37,81,"Irritable, stressed, impatient"
I hate Mondays ||| Feeling lonely and anxious ||| Feeling lonely and anxious ||| Feeling lonely and anxious ||| Feeling down today...,48,71,75,62,76,52,54,"Sad, withdrawn, anxious"
I can't stand traffic anymore ||| People are driving me crazy ||| This is so frustrating! ||| Angry and exhausted 😡 ||| Angry and exhausted 😡,52,22,69,90,44,35,82,"Irritable, stressed, impatient"
"I had a great day today! ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| I had a great day today! ||| Had a wonderful lunch with friends",88,14,2,23,3,3,18,"Calm, joyful, optimistic"
Feeling down today... ||| I hate Mondays ||| I hate Mondays ||| Feeling down today... ||| Feeling down today...,56,88,67,41,75,64,52,"Sad, withdrawn, anxious"
Feeling down today... ||| Feeling lonely and anxious ||| Feeling down today... ||| I hate Mondays ||| I hate Mondays,34,66,50,66,44,48,72,"Sad, withdrawn, anxious"
Nothing seems to go right ||| I hate Mondays ||| Feeling down today... ||| I hate Mondays ||| Life is tough sometimes,41,86,77,40,61,65,74,"Sad, withdrawn, anxious"
Excited about my new project! ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Excited about my new project!,97,2,9,10,10,1,3,"Calm, joyful, optimistic"
"Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment",81,9,12,5,13,9,7,"Calm, joyful, optimistic"
I had a great day today! ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Had a wonderful lunch with friends ||| I had a great day today!,98,20,19,4,3,4,10,"Calm, joyful, optimistic"
Had a wonderful lunch with friends ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Excited about my new project!,99,19,5,29,12,12,19,"Calm, joyful, optimistic"
"I had a great day today! ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| Excited about my new project!",98,0,2,7,18,16,2,"Calm, joyful, optimistic"
"Life is beautiful, enjoying every moment ||| I had a great day today! ||| Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Feeling blessed and happy 😊",97,12,11,19,10,16,18,"Calm, joyful, optimistic"
Feeling lonely and anxious ||| Feeling lonely and anxious ||| Feeling down today... ||| Nothing seems to go right ||| Life is tough sometimes,35,78,80,67,55,43,66,"Sad, withdrawn, anxious"
This is so frustrating! ||| People are driving me crazy ||| People are driving me crazy ||| Why does this always happen to me? ||| People are driving me crazy,64,38,48,61,32,38,74,"Irritable, stressed, impatient"
"I had a great day today! ||| I had a great day today! ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment",99,11,0,25,1,5,16,"Calm, joyful, optimistic"
Life is tough sometimes ||| Feeling lonely and anxious ||| Nothing seems to go right ||| Feeling lonely and anxious ||| I hate Mondays,41,79,60,60,67,41,72,"Sad, withdrawn, anxious"
Nothing seems to go right ||| Life is tough sometimes ||| I hate Mondays ||| Life is tough sometimes ||| Feeling down today...,56,72,78,50,40,63,56,"Sad, withdrawn, anxious"
Feeling down today... ||| Life is tough sometimes ||| Feeling lonely and anxious ||| Feeling lonely and anxious ||| Life is tough sometimes,45,64,54,55,46,62,53,"Sad, withdrawn, anxious"
"Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Excited about my new project!",81,15,8,9,13,7,1,"Calm, joyful, optimistic"
"Had a wonderful lunch with friends ||| Excited about my new project! ||| Excited about my new project! ||| Excited about my new project! ||| Life is beautiful, enjoying every moment",87,19,18,8,18,20,5,"Calm, joyful, optimistic"
I can't stand traffic anymore ||| Why does this always happen to me? ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| This is so frustrating!,46,33,45,64,32,31,60,"Irritable, stressed, impatient"
People are driving me crazy ||| Angry and exhausted 😡 ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| I can't stand traffic anymore,65,35,64,68,47,30,90,"Irritable, stressed, impatient"
Nothing seems to go right ||| Nothing seems to go right ||| Life is tough sometimes ||| I hate Mondays ||| Feeling down today...,43,68,76,46,74,67,58,"Sad, withdrawn, anxious"
"Excited about my new project! ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment ||| I had a great day today!",98,18,9,17,2,2,16,"Calm, joyful, optimistic"
Angry and exhausted 😡 ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| This is so frustrating! ||| I can't stand traffic anymore,50,27,68,68,23,32,85,"Irritable, stressed, impatient"
People are driving me crazy ||| People are driving me crazy ||| This is so frustrating! ||| Why does this always happen to me? ||| This is so frustrating!,67,42,69,85,20,43,77,"Irritable, stressed, impatient"
Why does this always happen to me? ||| People are driving me crazy ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| This is so frustrating!,59,47,46,87,28,50,73,"Irritable, stressed, impatient"
Feeling lonely and anxious ||| Feeling lonely and anxious ||| Feeling down today... ||| Feeling lonely and anxious ||| I hate Mondays,35,77,54,50,77,50,68,"Sad, withdrawn, anxious"
Had a wonderful lunch with friends ||| Excited about my new project! ||| Excited about my new project! ||| Excited about my new project! ||| Excited about my new project!,92,15,9,10,6,13,10,"Calm, joyful, optimistic"
Feeling down today... ||| Feeling down today... ||| Nothing seems to go right ||| Nothing seems to go right ||| I hate Mondays,47,62,51,42,42,69,76,"Sad, withdrawn, anxious"
"I had a great day today! ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment",100,0,15,5,20,3,7,"Calm, joyful, optimistic"
"Had a wonderful lunch with friends ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Excited about my new project! ||| I had a great day today!",98,20,11,21,1,15,8,"Calm, joyful, optimistic"
"Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment",95,20,12,18,12,9,10,"Calm, joyful, optimistic"
I hate Mondays ||| Feeling lonely and anxious ||| Feeling down today... ||| Nothing seems to go right ||| Nothing seems to go right,58,67,55,61,78,40,50,"Sad, withdrawn, anxious"
People are driving me crazy ||| Why does this always happen to me? ||| I can't stand traffic anymore ||| People are driving me crazy ||| I can't stand traffic anymore,64,21,50,85,49,21,81,"Irritable, stressed, impatient"
"Had a wonderful lunch with friends ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Excited about my new project!",80,14,20,2,17,2,3,"Calm, joyful, optimistic"
"Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| Excited about my new project! ||| Excited about my new project! ||| Life is beautiful, enjoying every moment",95,9,12,15,13,18,9,"Calm, joyful, optimistic"
Excited about my new project! ||| Excited about my new project! ||| Feeling blessed and happy 😊 ||| Excited about my new project! ||| I had a great day today!,86,3,15,4,14,8,12,"Calm, joyful, optimistic"
People are driving me crazy ||| This is so frustrating! ||| People are driving me crazy ||| Why does this always happen to me? ||| Why does this always happen to me?,58,40,49,62,24,41,76,"Irritable, stressed, impatient"
Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| This is so frustrating! ||| Why does this always happen to me? ||| Why does this always happen to me?,44,42,61,90,50,28,73,"Irritable, stressed, impatient"
I had a great day today! ||| I had a great day today! ||| I had a great day today! ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊,81,11,13,10,13,7,19,"Calm, joyful, optimistic"
People are driving me crazy ||| Angry and exhausted 😡 ||| People are driving me crazy ||| Angry and exhausted 😡 ||| I can't stand traffic anymore,49,32,51,86,33,49,88,"Irritable, stressed, impatient"
I had a great day today! ||| Excited about my new project! ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Feeling blessed and happy 😊,97,12,15,18,19,6,3,"Calm, joyful, optimistic"
"I had a great day today! ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Excited about my new project! ||| Life is beautiful, enjoying every moment",95,14,3,22,4,8,14,"Calm, joyful, optimistic"
I can't stand traffic anymore ||| This is so frustrating! ||| Why does this always happen to me? ||| People are driving me crazy ||| Angry and exhausted 😡,64,31,59,87,46,46,61,"Irritable, stressed, impatient"
Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Had a wonderful lunch with friends,84,13,14,30,18,20,15,"Calm, joyful, optimistic"
Life is tough sometimes ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Nothing seems to go right ||| Feeling down today...,49,67,66,61,48,53,61,"Sad, withdrawn, anxious"
I had a great day today! ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Excited about my new project! ||| Excited about my new project!,91,16,10,11,14,9,9,"Calm, joyful, optimistic"
People are driving me crazy ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| People are driving me crazy ||| Angry and exhausted 😡,50,30,62,85,45,44,75,"Irritable, stressed, impatient"
Angry and exhausted 😡 ||| People are driving me crazy ||| People are driving me crazy ||| Why does this always happen to me? ||| Angry and exhausted 😡,50,50,63,67,20,41,81,"Irritable, stressed, impatient"
"Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| I had a great day today! ||| I had a great day today! ||| Excited about my new project!",96,11,7,2,5,3,4,"Calm, joyful, optimistic"
Angry and exhausted 😡 ||| People are driving me crazy ||| This is so frustrating! ||| Angry and exhausted 😡 ||| I can't stand traffic anymore,62,49,47,72,41,42,87,"Irritable, stressed, impatient"
"Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment",98,2,4,13,16,13,17,"Calm, joyful, optimistic"
Nothing seems to go right ||| Life is tough sometimes ||| Feeling lonely and anxious ||| Feeling down today... ||| I hate Mondays,52,73,56,69,69,50,75,"Sad, withdrawn, anxious"
Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| Excited about my new project! ||| Excited about my new project! ||| Had a wonderful lunch with friends,93,17,7,30,0,2,4,"Calm, joyful, optimistic"
This is so frustrating! ||| Angry and exhausted 😡 ||| This is so frustrating! ||| I can't stand traffic anymore ||| People are driving me crazy,43,34,68,71,24,34,74,"Irritable, stressed, impatient"
Feeling down today... ||| Life is tough sometimes ||| Nothing seems to go right ||| Life is tough sometimes ||| Life is tough sometimes,40,75,69,53,49,63,52,"Sad, withdrawn, anxious"
"Feeling blessed and happy 😊 ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment",80,10,10,11,18,11,18,"Calm, joyful, optimistic"
This is so frustrating! ||| People are driving me crazy ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| I can't stand traffic anymore,61,29,48,62,44,20,77,"Irritable, stressed, impatient"
"Excited about my new project! ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment",85,20,2,9,2,18,9,"Calm, joyful, optimistic"
Angry and exhausted 😡 ||| People are driving me crazy ||| This is so frustrating! ||| Why does this always happen to me? ||| I can't stand traffic anymore,46,30,45,87,30,39,81,"Irritable, stressed, impatient"
I hate Mondays ||| Nothing seems to go right ||| Feeling down today... ||| Feeling down today... ||| I hate Mondays,31,72,69,67,68,41,58,"Sad, withdrawn, anxious"
I can't stand traffic anymore ||| Why does this always happen to me? ||| This is so frustrating! ||| People are driving me crazy ||| I can't stand traffic anymore,52,49,50,73,20,31,64,"Irritable, stressed, impatient"
Life is tough sometimes ||| Life is tough sometimes ||| Feeling down today... ||| Feeling down today... ||| Life is tough sometimes,44,62,80,50,66,65,66,"Sad, withdrawn, anxious"
"Had a wonderful lunch with friends ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| I had a great day today! ||| Feeling blessed and happy 😊",93,15,8,8,7,4,16,"Calm, joyful, optimistic"
Why does this always happen to me? ||| People are driving me crazy ||| This is so frustrating! ||| Why does this always happen to me? ||| Angry and exhausted 😡,53,30,45,71,31,44,77,"Irritable, stressed, impatient"
Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Excited about my new project!,85,3,4,20,2,8,10,"Calm, joyful, optimistic"
"Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment",81,0,10,20,16,9,10,"Calm, joyful, optimistic"
I hate Mondays ||| Life is tough sometimes ||| Life is tough sometimes ||| Life is tough sometimes ||| Feeling down today...,35,77,73,56,63,44,79,"Sad, withdrawn, anxious"
"Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends",83,17,17,23,3,1,7,"Calm, joyful, optimistic"
I can't stand traffic anymore ||| This is so frustrating! ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| This is so frustrating!,43,35,63,76,26,24,81,"Irritable, stressed, impatient"
Feeling down today... ||| Feeling down today... ||| Feeling down today... ||| Life is tough sometimes ||| I hate Mondays,35,85,73,54,41,70,73,"Sad, withdrawn, anxious"
People are driving me crazy ||| I can't stand traffic anymore ||| This is so frustrating! ||| I can't stand traffic anymore ||| I can't stand traffic anymore,55,46,47,60,22,43,87,"Irritable, stressed, impatient"
Feeling down today... ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Feeling lonely and anxious ||| I hate Mondays,38,80,71,44,67,54,80,"Sad, withdrawn, anxious"
"Life is beautiful, enjoying every moment ||| I had a great day today! ||| Excited about my new project! ||| I had a great day today! ||| Excited about my new project!",82,7,9,3,8,5,20,"Calm, joyful, optimistic"
Nothing seems to go right ||| Nothing seems to go right ||| I hate Mondays ||| Nothing seems to go right ||| Feeling down today...,44,85,59,54,77,63,76,"Sad, withdrawn, anxious"
Life is tough sometimes ||| Feeling down today... ||| Feeling lonely and anxious ||| Life is tough sometimes ||| I hate Mondays,38,69,52,69,44,64,64,"Sad, withdrawn, anxious"
This is so frustrating! ||| This is so frustrating! ||| This is so frustrating! ||| Angry and exhausted 😡 ||| People are driving me crazy,54,31,53,84,31,30,76,"Irritable, stressed, impatient"
This is so frustrating! ||| I can't stand traffic anymore ||| People are driving me crazy ||| People are driving me crazy ||| I can't stand traffic anymore,51,34,54,84,36,50,80,"Irritable, stressed, impatient"
"Excited about my new project! ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment",98,13,5,22,11,5,13,"Calm, joyful, optimistic"
"I had a great day today! ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Excited about my new project!",84,14,12,15,12,8,1,"Calm, joyful, optimistic"
